"Department Code","Department Name"
"2667 ","High-Speed Rail Authority Office of the Inspector General "
"8270 ","Historic State Capitol Commission "
"0957 ","Hope, Opportunity, Perseverance and Empowerment (HOPE) for Children Trust Account Program Board, California "
"2240 ","Housing and Community Development, Department of "
"7501 ","Human Resources, Department of "
"7350 ","Industrial Relations, Department of "
"0552 ","Inspector General, Office of the "
"0845 ","Insurance, Department of "
"9625 ","Interest Payments to the Federal Government "
"0130 ","Joint Expenses "
"0390 ","Judges "
"0250 ","Judicial Branch "
"0820 ","Justice, Department of "
"0559 ","Labor and Workforce Development Agency, Secretary for "
"9610 ","Lease-Revenue Notes and Bonds "
"0160 ","Legislative Counsel Bureau "
"0150 ","Legislators "
"0750 ","Lieutenant Governor, Office of the "
"9210 ","Local Government Financing "
"0850 ","Lottery Commission, California State "
"4150 ","Managed Health Care, Department of "
"4560 ","Mental Health Services Oversight and Accountability Commission "
"8940 ","Military Department "
"8780 ","Milton Marks "Little Hoover" Commission on California State Governmental Organization and Economy "
"2740 ","Motor Vehicles, Department of "
"3780 ","Native American Heritage Commission "
"0540 ","Natural Resources Agency, Secretary of the "
"3790 ","Parks and Recreation, Department of "
"9300 ","Payment to Counties for Costs of Homicide Trials "
"8120 ","Peace Officer Standards and Training, Commission on "
"7503 ","Personnel Board, State "
"3930 ","Pesticide Regulation, Department of "
"2670 ","Pilot Commissioners for the Bays of San Francisco, San Pablo, and Suisun, Board of "
"0650 ","Planning and Research, Office of "
"8640 ","Political Reform Act of 1974 "
"0974 ","Pollution Control Financing Authority, California "
"5420 ","Prison Industry Authority "
"1703 ","Privacy Protection Agency, California "
"7900 ","Public Employees "
"7320 ","Public Employment Relations Board "
"4265 ","Public Health, Department of "
"9889 ","Public School System Stabilization Account "
"8660 ","Public Utilities Commission "
"2320 ","Real Estate, Department of "
"5160 ","Rehabilitation, Department of "
"9885 ","Reserve for Liquidation of Encumbrances "
"3970 ","Resources Recycling and Recovery, Department of "
"3875 ","Sacramento-San Joaquin Delta Conservancy "
"3845 ","San Diego River Conservancy "
"3820 ","San Francisco Bay Conservation and Development Commission "
"3825 ","San Gabriel and Lower Los Angeles River and Mountains Conservancy "
"3830 ","San Joaquin River Conservancy "
"3810 ","Santa Monica Mountains Conservancy "
"0954 ","Scholarshare Investment Board "
"6350 ","School Facilities Aid Program "
"0985 ","School Finance Authority, California "
"0890 ","Secretary of State "
"0110 ","Senate "
"4185 ","Senior Legislature, California "
"9350 ","Shared Revenues "
"3855 ","Sierra Nevada Conservancy "
"5180 ","Social Services, Department of "
"3110 ","Special Resources Programs "
"5227 ","State and Community Corrections, Board of "
"3760 ","State Coastal Conservancy "
"8420 ","State Compensation Insurance Fund "
"0840 ","State Controller "
"4100 ","State Council on Developmental Disabilities "
"4440 ","State Hospitals, Department of "
"5170 ","State Independent Living Council "
"3560 ","State Lands Commission "
"6120 ","State Library, California "
"8885 ","State Mandates, Commission on "
"8140 ","State Public Defender "
"7920 ","State Teachers' Retirement System "
"6300 ","State Teachers' Retirement System, State Contributions to the "
"0950 ","State Treasurer "
"3940 ","State Water Resources Control Board "
"5195 ","State-Local Realignment, 1991 "
"5196 ","State-Local Realignment, 2011 "
"9900 ","Statewide General Administrative Expenditures (Pro Rata) "
"8820 ","Status of Women and Girls, Commission on the "
"6980 ","Student Aid Commission, California "
"6255 ","Summer School for the Arts, California State "
"3125 ","Tahoe Conservancy, California "
"0870 ","Tax Appeals, Office of "
"0968 ","Tax Credit Allocation Committee, California "
"9100 ","Tax Relief "
"7502 ","Technology, Department of "
"3960 ","Toxic Substances Control, Department of "
"2640 ","Transit Assistance, State "
"0521 ","Transportation Agency, Secretary for "
"2600 ","Transportation Commission, California "
"2660 ","Transportation, Department of "
"9285 ","Trial Court Security - Court Construction "
"9286 ","Trial Court Security - Judgeships "
"6440 ","University of California "
"8955 ","Veterans Affairs, Department of "
"7870 ","Victim Compensation Board, California "
"3860 ","Water Resources, Department of "
"3640 ","Wildlife Conservation Board "
"8815 ","Youth Empowerment Commission "
